,ref,T_1st_d_%ServesWon,T_1st_d_Aces,T_1st_d_Unreturned,T_1st_d_Returned,T_1st_d_AvgSpeed,M_1st_d_%ServesWon,M_1st_d_Aces,M_1st_d_Unreturned,M_1st_d_Returned,M_1st_d_AvgSpeed,W_1st_d_%ServesWon,W_1st_d_Aces,W_1st_d_Unreturned,W_1st_d_Returned,W_1st_d_AvgSpeed,T_2nd_d_%ServesWon,T_2nd_d_Aces,T_2nd_d_Unreturned,T_2nd_d_Returned,T_2nd_d_AvgSpeed,M_2nd_d_%ServesWon,M_2nd_d_Aces,M_2nd_d_Unreturned,M_2nd_d_Returned,M_2nd_d_AvgSpeed,W_2nd_d_%ServesWon,W_2nd_d_Aces,W_2nd_d_Unreturned,W_2nd_d_Returned,W_2nd_d_AvgSpeed,year
0,DH50,55.6%,0,1,8,117.0,25.0%,0,0,4,112.0,40.0%,0,1,4,111.0,0.0%,0,0,2,96.0,80.0%,0,1,4,92.0,80.0%,0,1,4,92.0,2021
1,E687,42.9%,0,1,13,112.0,75.0%,0,0,4,114.0,77.8%,0,2,7,107.0,54.5%,0,0,11,93.0,55.6%,0,1,8,96.0,55.6%,0,1,8,96.0,2021
2,FB98,64.7%,2,3,12,133.0,0.0%,0,0,0,0.0,50.0%,3,3,14,116.0,71.4%,0,1,6,95.0,42.9%,0,0,14,100.0,42.9%,0,0,14,100.0,2021
3,F724,73.3%,2,3,10,122.0,0.0%,0,0,0,0.0,66.7%,5,0,7,112.0,44.4%,0,1,8,96.0,33.3%,0,0,3,92.0,33.3%,0,0,3,92.0,2021
4,HB71,70.6%,7,2,8,133.0,0.0%,0,0,1,125.0,75.0%,2,3,15,116.0,25.0%,0,0,4,102.0,45.5%,0,2,9,95.0,45.5%,0,2,9,95.0,2021
5,MM58,66.7%,2,2,11,126.0,0.0%,0,0,0,0.0,53.8%,2,2,9,116.0,20.0%,0,0,5,93.0,20.0%,0,0,5,101.0,20.0%,0,0,5,101.0,2021
6,n409,69.0%,0,5,24,115.0,100.0%,0,1,3,116.0,50.0%,1,0,1,118.0,42.9%,0,0,7,92.0,42.9%,0,1,6,94.0,42.9%,0,1,6,94.0,2021
7,N771,37.5%,0,0,8,117.0,0.0%,0,0,1,120.0,87.5%,1,3,4,123.0,50.0%,0,0,4,96.0,0.0%,0,0,4,92.0,0.0%,0,0,4,92.0,2021
8,RE44,83.3%,3,1,2,131.0,0.0%,0,0,1,110.0,80.0%,3,1,1,109.0,36.4%,0,2,9,93.0,33.3%,0,0,3,98.0,33.3%,0,0,3,98.0,2021
9,RH16,77.8%,4,0,5,129.0,100.0%,0,0,2,117.0,40.0%,2,0,8,117.0,50.0%,0,1,7,96.0,33.3%,0,0,3,99.0,33.3%,0,0,3,99.0,2021
10,A0E2,76.5%,5,5,7,135.0,66.7%,0,1,2,122.0,77.3%,6,4,12,120.0,28.6%,0,0,7,109.0,33.3%,0,0,3,112.0,66.7%,0,1,2,114.0,2020
11,A479,60.0%,0,1,14,116.0,33.3%,0,1,5,107.0,50.0%,1,4,11,103.0,50.0%,0,2,4,90.0,37.5%,0,2,6,93.0,100.0%,0,1,0,98.0,2020
12,A678,54.5%,0,1,10,117.0,60.0%,0,1,4,111.0,60.0%,0,2,8,102.0,33.3%,0,1,5,90.0,75.0%,0,3,1,91.0,0.0%,0,0,0,0.0,2020
13,A596,62.5%,2,1,5,124.0,100.0%,0,0,3,122.0,83.3%,0,4,8,110.0,66.7%,0,0,3,90.0,50.0%,0,0,2,88.0,33.3%,0,0,3,95.0,2020
14,AG37,72.7%,1,2,8,130.0,0.0%,0,0,0,0.0,76.9%,3,1,9,115.0,53.8%,0,2,11,98.0,100.0%,0,1,1,109.0,100.0%,0,0,2,103.0,2020
15,B837,100.0%,0,1,0,130.0,60.0%,0,0,5,120.0,85.7%,2,3,2,115.0,0.0%,0,0,2,102.0,80.0%,0,2,3,100.0,0.0%,0,0,1,100.0,2020
16,be67,66.7%,0,1,5,120.0,0.0%,0,0,1,110.0,20.0%,0,0,5,111.0,50.0%,0,2,4,90.0,0.0%,0,0,2,87.0,100.0%,0,0,1,99.0,2020
17,BD06,62.5%,2,1,5,123.0,0.0%,0,0,1,116.0,50.0%,1,4,5,117.0,100.0%,0,1,1,101.0,33.3%,0,0,3,106.0,0.0%,0,0,0,0.0,2020
18,bh09,71.4%,1,1,5,116.0,55.6%,0,2,7,115.0,53.8%,1,3,9,115.0,20.0%,0,0,5,96.0,27.3%,0,1,10,97.0,80.0%,0,3,2,97.0,2020
19,bd20,60.0%,1,0,4,117.0,60.0%,0,0,5,109.0,71.4%,1,4,2,106.0,0.0%,0,0,1,100.0,50.0%,0,1,3,98.0,0.0%,0,0,1,101.0,2020
20,b747,68.6%,2,5,28,116.0,33.3%,0,0,3,100.0,68.0%,2,5,18,102.0,30.8%,0,1,12,96.0,66.7%,0,3,9,93.0,66.7%,0,0,3,95.0,2020
21,BE90,73.7%,4,6,9,128.0,0.0%,0,0,2,110.0,80.6%,4,10,17,119.0,60.0%,0,0,5,118.0,50.0%,0,0,8,103.0,85.7%,1,4,9,109.0,2020
22,BA47,75.0%,5,3,16,128.0,20.0%,0,1,4,111.0,77.8%,3,7,17,113.0,40.0%,1,0,4,114.0,100.0%,0,0,3,104.0,20.0%,0,0,10,99.0,2020
23,BK40,71.4%,0,3,4,122.0,100.0%,0,0,3,120.0,78.6%,3,3,8,120.0,25.0%,0,0,4,95.0,33.3%,0,2,4,97.0,50.0%,0,0,2,102.0,2020
24,b676,70.0%,1,3,6,140.0,100.0%,0,0,1,124.0,66.7%,2,5,8,121.0,0.0%,0,0,1,109.0,57.1%,0,1,6,116.0,100.0%,1,0,0,112.0,2020
25,CD85,66.7%,0,1,11,120.0,0.0%,0,0,0,0.0,58.8%,1,5,11,107.0,44.4%,0,0,9,90.0,0.0%,0,0,1,106.0,100.0%,0,1,0,107.0,2020
26,A0E2,66.7%,0,1,11,116.0,100.0%,0,0,1,117.0,100.0%,0,0,1,117.0,14.3%,0,0,7,93.0,100.0%,0,3,3,91.0,50.0%,0,0,4,99.0,2019
27,A479,60.0%,0,5,0,138.0,0.0%,0,1,0,132.0,0.0%,0,1,0,132.0,100.0%,0,1,0,114.0,16.7%,0,6,0,108.0,0.0%,0,0,0,0.0,2019
28,A678,57.1%,0,1,6,120.0,100.0%,0,1,3,108.0,100.0%,0,1,3,108.0,80.0%,0,0,5,90.0,33.3%,0,1,2,96.0,0.0%,0,0,0,0.0,2019
29,A596,62.5%,1,0,7,128.0,66.7%,0,1,5,123.0,66.7%,0,1,5,123.0,100.0%,0,1,0,114.0,80.0%,0,0,5,105.0,0.0%,0,0,1,104.0,2019
30,AG37,64.7%,1,2,14,131.0,100.0%,0,0,1,130.0,100.0%,0,0,1,130.0,38.5%,0,0,13,93.0,44.4%,0,1,7,93.0,0.0%,0,0,0,0.0,2019
31,B837,66.7%,2,5,8,122.0,100.0%,0,0,1,120.0,100.0%,0,0,1,120.0,50.0%,0,0,4,97.0,42.9%,0,0,7,85.0,66.7%,0,1,2,104.0,2019
32,be67,87.5%,8,6,2,130.0,0.0%,0,0,2,109.0,0.0%,0,0,2,109.0,69.6%,0,0,22,93.0,0.0%,0,0,0,0.0,100.0%,0,0,2,99.0,2019
33,BD06,27.8%,2,0,16,120.0,100.0%,0,2,0,115.0,100.0%,0,2,0,115.0,50.0%,0,0,4,97.0,72.7%,0,6,16,97.0,0.0%,0,0,0,0.0,2019
34,bh09,66.7%,3,4,5,125.0,0.0%,0,0,0,0.0,0.0%,0,0,0,0.0,0.0%,0,0,0,0.0,66.7%,0,0,3,100.0,66.7%,0,2,1,105.0,2019
35,bd20,75.0%,1,2,5,124.0,0.0%,0,0,0,0.0,0.0%,0,0,0,0.0,0.0%,0,0,1,91.0,44.4%,0,0,9,88.0,100.0%,0,0,1,98.0,2019
36,b747,66.7%,3,3,9,129.0,0.0%,0,0,0,0.0,0.0%,0,0,0,0.0,55.6%,0,0,9,93.0,35.7%,0,0,14,94.0,33.3%,0,0,3,97.0,2019
37,BE90,44.4%,2,4,12,136.0,50.0%,0,0,4,134.0,50.0%,0,0,4,134.0,100.0%,2,4,4,129.0,100.0%,0,4,2,129.0,0.0%,0,0,0,0.0,2019
38,BA47,72.7%,4,3,15,119.0,70.0%,0,1,9,116.0,70.0%,0,1,9,116.0,31.6%,0,0,19,93.0,64.3%,0,2,12,92.0,50.0%,0,0,2,96.0,2019
39,BK40,89.5%,5,3,11,126.0,0.0%,0,0,2,122.0,0.0%,0,0,2,122.0,64.7%,2,1,14,96.0,55.6%,0,2,7,94.0,70.0%,1,2,7,107.0,2019
40,b676,81.8%,0,4,18,100.0,60.0%,0,2,18,97.0,60.0%,0,2,18,97.0,66.7%,0,2,4,89.0,66.7%,0,4,2,90.0,36.4%,0,2,8,88.0,2019
41,CD85,77.8%,0,5,13,115.0,0.0%,0,0,2,117.0,0.0%,0,0,2,117.0,70.0%,0,1,9,91.0,0.0%,0,0,0,0.0,0.0%,0,0,0,0.0,2019
42,CE25,50.0%,0,2,4,126.0,100.0%,0,0,1,114.0,100.0%,0,0,1,114.0,60.0%,0,1,4,99.0,100.0%,0,1,3,103.0,0.0%,0,0,2,103.0,2019
43,cf01,71.4%,1,1,5,135.0,100.0%,0,1,0,122.0,100.0%,0,1,0,122.0,42.9%,0,1,6,105.0,66.7%,0,1,2,107.0,100.0%,0,1,3,110.0,2019
44,A0E2,50.0%,0,2,4,114.0,33.3%,0,0,3,112.0,66.7%,0,0,3,113.0,50.0%,0,2,4,114.0,33.3%,0,0,3,112.0,66.7%,0,0,3,113.0,2018
45,A479,50.0%,0,0,2,93.0,36.4%,0,1,10,98.0,25.0%,0,1,3,100.0,50.0%,0,0,2,93.0,36.4%,0,1,10,98.0,25.0%,0,1,3,100.0,2018
46,A678,0.0%,0,0,3,97.0,100.0%,0,0,2,103.0,50.0%,0,0,2,102.0,0.0%,0,0,3,97.0,100.0%,0,0,2,103.0,50.0%,0,0,2,102.0,2018
47,A596,50.0%,0,3,5,106.0,100.0%,0,0,1,97.0,0.0%,0,0,2,108.0,50.0%,0,3,5,106.0,100.0%,0,0,1,97.0,0.0%,0,0,2,108.0,2018
48,AG37,45.5%,0,2,20,94.0,37.5%,0,0,8,96.0,100.0%,0,0,1,106.0,45.5%,0,2,20,94.0,37.5%,0,0,8,96.0,100.0%,0,0,1,106.0,2018
49,B837,70.6%,0,6,11,95.0,33.3%,0,0,3,96.0,42.9%,0,1,6,105.0,70.6%,0,6,11,95.0,33.3%,0,0,3,96.0,42.9%,0,1,6,105.0,2018
50,be67,42.9%,0,0,7,96.0,64.3%,0,3,11,93.0,0.0%,0,0,0,0.0,42.9%,0,0,7,96.0,64.3%,0,3,11,93.0,0.0%,0,0,0,0.0,2018
51,BD06,83.3%,0,0,6,93.0,0.0%,0,0,4,93.0,0.0%,0,0,0,0.0,83.3%,0,0,6,93.0,0.0%,0,0,4,93.0,0.0%,0,0,0,0.0,2018
52,bh09,50.0%,0,0,4,81.0,0.0%,0,0,1,85.0,50.0%,0,1,1,82.0,50.0%,0,0,4,81.0,0.0%,0,0,1,85.0,50.0%,0,1,1,82.0,2018
53,bd20,66.7%,0,1,2,100.0,28.6%,0,0,7,99.0,0.0%,0,0,0,0.0,66.7%,0,1,2,100.0,28.6%,0,0,7,99.0,0.0%,0,0,0,0.0,2018
54,b747,57.1%,0,0,14,96.0,66.7%,0,2,4,98.0,50.0%,0,0,10,101.0,57.1%,0,0,14,96.0,66.7%,0,2,4,98.0,50.0%,0,0,10,101.0,2018
55,BE90,16.7%,0,0,6,97.0,45.5%,0,1,10,95.0,0.0%,0,0,1,102.0,16.7%,0,0,6,97.0,45.5%,0,1,10,95.0,0.0%,0,0,1,102.0,2018
56,BA47,75.0%,0,1,3,95.0,0.0%,0,0,2,103.0,100.0%,0,0,1,106.0,75.0%,0,1,3,95.0,0.0%,0,0,2,103.0,100.0%,0,0,1,106.0,2018
57,BK40,25.0%,0,1,7,89.0,50.0%,0,1,1,83.0,0.0%,0,0,0,0.0,25.0%,0,1,7,89.0,50.0%,0,1,1,83.0,0.0%,0,0,0,0.0,2018
58,b676,50.0%,0,1,3,86.0,33.3%,0,0,9,86.0,100.0%,0,0,1,124.0,50.0%,0,1,3,86.0,33.3%,0,0,9,86.0,100.0%,0,0,1,124.0,2018
59,CD85,62.5%,0,2,6,96.0,33.3%,0,0,3,101.0,75.0%,0,1,3,100.0,62.5%,0,2,6,96.0,33.3%,0,0,3,101.0,75.0%,0,1,3,100.0,2018
60,CE25,50.0%,0,0,8,119.0,75.0%,0,1,3,115.0,50.0%,0,0,6,117.0,50.0%,0,0,8,119.0,75.0%,0,1,3,115.0,50.0%,0,0,6,117.0,2018
61,A0E2,86.7%,3,4,8,129.0,100.0%,0,0,1,120.0,75.0%,4,3,5,120.0,50.0%,0,2,4,114.0,50.0%,0,1,7,99.0,0.0%,0,0,0,0.0,2017
62,A479,36.4%,1,0,10,115.0,40.0%,0,0,5,114.0,50.0%,0,2,4,102.0,50.0%,0,0,2,93.0,0.0%,0,0,3,97.0,0.0%,0,0,1,100.0,2017
63,A678,40.0%,1,0,9,122.0,0.0%,0,0,1,125.0,73.3%,0,7,8,109.0,0.0%,0,0,3,97.0,50.0%,0,0,6,91.0,0.0%,0,0,0,0.0,2017
64,A596,46.7%,0,2,13,107.0,44.4%,0,1,8,105.0,62.5%,0,4,12,108.0,50.0%,0,3,5,106.0,50.0%,0,0,2,86.0,0.0%,0,0,1,83.0,2017
65,AG37,67.6%,6,6,22,128.0,50.0%,0,1,3,131.0,62.5%,3,4,9,112.0,45.5%,0,2,20,94.0,50.0%,0,0,2,93.0,0.0%,0,0,1,102.0,2017
66,B837,100.0%,1,2,4,125.0,50.0%,0,2,4,113.0,90.0%,2,2,6,110.0,70.6%,0,6,11,95.0,66.7%,0,1,2,100.0,0.0%,0,0,0,0.0,2017
67,be67,54.5%,2,1,8,120.0,83.3%,0,2,4,114.0,71.4%,1,3,10,105.0,42.9%,0,0,7,96.0,42.9%,0,0,7,89.0,100.0%,0,0,2,95.0,2017
68,BD06,71.4%,0,0,7,134.0,100.0%,0,1,1,135.0,83.3%,3,4,5,118.0,83.3%,0,0,6,93.0,100.0%,0,2,1,109.0,50.0%,1,0,1,112.0,2017
69,bh09,83.3%,0,2,4,120.0,0.0%,0,0,0,0.0,77.8%,1,3,5,130.0,50.0%,0,0,4,81.0,0.0%,0,0,0,0.0,100.0%,0,0,2,107.0,2017
70,bd20,66.7%,0,0,3,119.0,100.0%,0,0,1,115.0,80.0%,1,4,5,118.0,66.7%,0,1,2,100.0,100.0%,0,1,4,95.0,0.0%,0,0,1,102.0,2017
