Hard,Clay,Carpet,Grass,best_of,minutes,opp_hand,opp_ht,opp_age,opp_ace,opp_df,opp_svpt,opp_1stWon,opp_2ndWon,opp_bpSaved,opp_bpFaced
0.0,1.0,0.0,0.0,0.0,146.0,0.0,173.0,26.7,0.0,2.0,93.0,40.0,16.0,7.0,10.0
1.0,0.0,0.0,0.0,0.0,19.0,0.0,198.0,24.2,0.0,1.0,20.0,8.0,1.0,3.0,5.0
1.0,0.0,0.0,0.0,0.0,105.0,1.0,180.0,27.1,4.0,2.0,74.0,34.0,12.0,6.0,8.0
1.0,0.0,0.0,0.0,0.0,105.0,1.0,175.0,24.8,5.0,5.0,90.0,38.0,14.0,6.0,9.0
0.0,1.0,0.0,0.0,0.0,63.0,0.0,190.0,32.1,1.0,1.0,41.0,17.0,7.0,1.0,4.0
0.0,1.0,0.0,0.0,1.0,78.0,0.0,183.0,22.6,4.0,4.0,80.0,22.0,11.0,7.0,16.0
0.0,0.0,1.0,0.0,1.0,113.0,0.0,185.0,21.2,4.0,5.0,97.0,44.0,18.0,7.0,10.0
0.0,0.0,1.0,0.0,1.0,248.0,0.0,188.0,22.0,6.0,5.0,182.0,76.0,33.0,10.0,17.0
0.0,0.0,0.0,1.0,1.0,237.0,0.0,193.0,18.9,22.0,5.0,147.0,67.0,39.0,1.0,3.0
0.0,0.0,0.0,1.0,1.0,207.0,0.0,196.0,21.4,8.0,3.0,133.0,64.0,20.0,8.0,13.0
0.0,0.0,0.0,1.0,0.0,98.0,0.0,185.0,20.3,5.0,3.0,82.0,37.0,15.0,2.0,5.0
0.0,0.0,0.0,1.0,0.0,131.0,0.0,190.0,19.4,5.0,2.0,86.0,27.0,27.0,3.0,6.0
1.0,0.0,0.0,0.0,0.0,79.0,0.0,183.0,25.9,3.0,8.0,68.0,17.0,16.0,6.0,11.0
1.0,0.0,0.0,0.0,0.0,83.0,0.0,185.0,27.1,4.0,2.0,53.0,22.0,9.0,4.0,7.0
1.0,0.0,0.0,0.0,0.0,60.0,0.0,193.0,20.4,10.0,2.0,44.0,20.0,7.0,1.0,4.0
0.0,1.0,0.0,0.0,0.0,82.0,0.0,180.0,23.7,0.0,3.0,60.0,12.0,15.0,5.0,10.0
0.0,1.0,0.0,0.0,0.0,86.0,0.0,178.0,30.4,1.0,2.0,73.0,24.0,17.0,9.0,12.0
0.0,1.0,0.0,0.0,0.0,75.0,0.0,188.0,29.2,1.0,2.0,61.0,27.0,6.0,4.0,7.0
0.0,1.0,0.0,0.0,0.0,38.0,0.0,175.0,24.5,0.0,5.0,21.0,4.0,3.0,0.0,3.0
0.0,1.0,0.0,0.0,0.0,162.0,0.0,183.0,26.7,11.0,4.0,89.0,27.0,25.0,7.0,10.0
0.0,0.0,0.0,1.0,0.0,66.0,0.0,178.0,30.6,2.0,0.0,49.0,21.0,11.0,1.0,3.0
0.0,0.0,0.0,1.0,0.0,64.0,0.0,190.0,24.6,4.0,5.0,45.0,18.0,7.0,3.0,6.0
0.0,0.0,0.0,1.0,0.0,60.0,0.0,180.0,28.7,4.0,6.0,46.0,14.0,8.0,4.0,8.0
0.0,0.0,0.0,1.0,0.0,59.0,0.0,185.0,27.1,1.0,6.0,50.0,14.0,12.0,2.0,6.0
0.0,0.0,0.0,1.0,0.0,165.0,0.0,175.0,28.3,10.0,0.0,107.0,41.0,25.0,5.0,9.0
0.0,0.0,0.0,1.0,0.0,111.0,1.0,183.0,25.3,2.0,5.0,90.0,31.0,20.0,7.0,11.0
0.0,0.0,0.0,1.0,0.0,57.0,0.0,185.0,24.1,3.0,2.0,50.0,18.0,8.0,3.0,7.0
0.0,0.0,0.0,1.0,0.0,111.0,0.0,190.0,21.9,7.0,5.0,85.0,29.0,19.0,4.0,10.0
0.0,0.0,0.0,1.0,0.0,160.0,0.0,185.0,31.4,2.0,2.0,101.0,48.0,17.0,11.0,13.0
0.0,1.0,0.0,0.0,0.0,138.0,0.0,175.0,24.3,0.0,10.0,84.0,34.0,12.0,9.0,14.0
0.0,0.0,0.0,1.0,0.0,102.0,1.0,185.0,25.0,3.0,0.0,78.0,37.0,12.0,1.0,2.0
0.0,1.0,0.0,0.0,0.0,110.0,0.0,185.0,28.2,3.0,1.0,79.0,31.0,10.0,3.0,10.0
0.0,1.0,0.0,0.0,0.0,82.0,0.0,190.0,29.9,3.0,0.0,50.0,14.0,12.0,2.0,6.0
0.0,0.0,1.0,0.0,0.0,182.0,0.0,188.0,31.2,18.0,12.0,126.0,61.0,28.0,2.0,3.0
0.0,1.0,0.0,0.0,1.0,60.0,0.0,180.0,25.7,1.0,2.0,53.0,16.0,11.0,4.0,8.0
0.0,1.0,0.0,0.0,1.0,183.0,0.0,183.0,25.8,9.0,4.0,114.0,53.0,18.0,4.0,10.0
0.0,1.0,0.0,0.0,1.0,134.0,0.0,188.0,28.1,5.0,2.0,101.0,40.0,19.0,6.0,12.0
0.0,1.0,0.0,0.0,1.0,153.0,0.0,193.0,19.7,6.0,3.0,101.0,35.0,29.0,5.0,9.0
0.0,0.0,1.0,0.0,1.0,124.0,0.0,178.0,29.8,1.0,5.0,87.0,31.0,21.0,3.0,8.0
0.0,0.0,1.0,0.0,1.0,133.0,0.0,180.0,24.1,1.0,3.0,107.0,45.0,12.0,9.0,15.0
0.0,0.0,1.0,0.0,1.0,156.0,0.0,183.0,24.0,6.0,2.0,98.0,41.0,20.0,1.0,6.0
0.0,0.0,0.0,1.0,1.0,101.0,1.0,183.0,17.0,4.0,8.0,87.0,24.0,20.0,2.0,9.0
0.0,0.0,0.0,1.0,1.0,191.0,0.0,188.0,24.7,21.0,4.0,144.0,59.0,45.0,6.0,7.0
0.0,0.0,0.0,1.0,0.0,154.0,1.0,188.0,23.9,2.0,4.0,90.0,49.0,9.0,2.0,5.0
0.0,0.0,0.0,1.0,0.0,133.0,0.0,183.0,27.6,8.0,2.0,88.0,34.0,21.0,8.0,10.0
0.0,0.0,0.0,1.0,0.0,105.0,0.0,196.0,23.5,6.0,2.0,65.0,30.0,12.0,0.0,2.0
0.0,0.0,1.0,0.0,0.0,94.0,0.0,190.0,27.5,8.0,6.0,73.0,37.0,8.0,4.0,7.0
0.0,0.0,0.0,1.0,0.0,77.0,0.0,183.0,25.0,5.0,0.0,54.0,21.0,5.0,4.0,9.0
0.0,0.0,0.0,1.0,0.0,77.0,0.0,178.0,31.6,0.0,0.0,58.0,20.0,13.0,1.0,4.0
0.0,0.0,0.0,1.0,0.0,174.0,0.0,190.0,28.1,6.0,4.0,108.0,50.0,20.0,5.0,7.0
0.0,0.0,0.0,1.0,0.0,106.0,0.0,190.0,23.6,1.0,2.0,56.0,22.0,9.0,4.0,7.0
0.0,0.0,0.0,1.0,0.0,76.0,0.0,183.0,22.5,2.0,2.0,55.0,24.0,4.0,4.0,8.0
0.0,0.0,0.0,1.0,0.0,147.0,1.0,201.0,21.4,14.0,5.0,106.0,48.0,17.0,6.0,10.0
0.0,0.0,0.0,1.0,0.0,101.0,0.0,178.0,30.4,2.0,3.0,74.0,28.0,10.0,2.0,7.0
0.0,0.0,0.0,1.0,0.0,58.0,0.0,180.0,23.4,3.0,3.0,57.0,18.0,5.0,9.0,15.0
0.0,0.0,0.0,1.0,0.0,54.0,0.0,180.0,26.6,0.0,2.0,47.0,19.0,5.0,4.0,8.0
0.0,0.0,0.0,1.0,0.0,67.0,0.0,198.0,24.5,6.0,3.0,66.0,27.0,8.0,6.0,9.0
0.0,0.0,0.0,1.0,0.0,84.0,0.0,180.0,29.1,8.0,0.0,72.0,34.0,16.0,3.0,4.0
0.0,0.0,0.0,1.0,0.0,60.0,1.0,190.0,26.8,3.0,3.0,48.0,16.0,10.0,2.0,5.0
0.0,0.0,0.0,1.0,0.0,57.0,1.0,188.0,25.4,1.0,2.0,40.0,17.0,3.0,4.0,8.0
0.0,0.0,0.0,1.0,0.0,97.0,1.0,185.0,20.7,1.0,1.0,54.0,28.0,5.0,4.0,7.0
0.0,0.0,0.0,1.0,0.0,63.0,0.0,190.0,19.8,1.0,5.0,44.0,10.0,8.0,4.0,9.0
0.0,0.0,0.0,1.0,1.0,140.0,0.0,185.0,29.3,6.0,5.0,69.0,24.0,16.0,3.0,7.0
0.0,0.0,0.0,1.0,0.0,82.0,0.0,183.0,24.4,6.0,1.0,67.0,24.0,11.0,7.0,12.0
0.0,0.0,0.0,1.0,0.0,55.0,0.0,185.0,19.0,3.0,2.0,49.0,9.0,11.0,5.0,10.0
0.0,0.0,0.0,1.0,0.0,91.0,0.0,185.0,25.2,4.0,3.0,60.0,19.0,10.0,3.0,8.0
0.0,0.0,0.0,1.0,0.0,77.0,0.0,175.0,24.9,3.0,3.0,49.0,20.0,8.0,2.0,5.0
0.0,0.0,0.0,1.0,0.0,63.0,0.0,190.0,19.8,3.0,0.0,46.0,12.0,12.0,3.0,8.0
0.0,0.0,0.0,1.0,0.0,88.0,0.0,180.0,25.9,5.0,0.0,71.0,37.0,11.0,2.0,3.0
0.0,0.0,0.0,1.0,0.0,129.0,0.0,183.0,33.0,2.0,1.0,116.0,54.0,12.0,11.0,16.0
0.0,0.0,0.0,1.0,0.0,146.0,0.0,180.0,24.8,6.0,0.0,94.0,38.0,20.0,6.0,10.0
0.0,1.0,0.0,0.0,0.0,102.0,0.0,175.0,28.3,1.0,4.0,85.0,24.0,14.0,8.0,15.0
0.0,1.0,0.0,0.0,0.0,113.0,0.0,185.0,25.3,3.0,3.0,77.0,28.0,17.0,3.0,6.0
0.0,1.0,0.0,0.0,0.0,158.0,1.0,185.0,25.8,3.0,0.0,101.0,45.0,13.0,4.0,11.0
0.0,1.0,0.0,0.0,0.0,132.0,0.0,193.0,22.7,4.0,1.0,83.0,35.0,12.0,1.0,6.0
0.0,1.0,0.0,0.0,0.0,95.0,0.0,183.0,21.8,4.0,2.0,65.0,17.0,14.0,4.0,10.0
0.0,0.0,0.0,1.0,0.0,84.0,0.0,183.0,30.0,4.0,3.0,54.0,25.0,7.0,2.0,5.0
0.0,0.0,0.0,1.0,0.0,70.0,0.0,180.0,25.5,5.0,2.0,56.0,21.0,11.0,5.0,8.0
0.0,0.0,0.0,1.0,0.0,106.0,0.0,188.0,24.9,5.0,1.0,72.0,34.0,13.0,4.0,6.0
0.0,0.0,0.0,1.0,0.0,111.0,1.0,185.0,21.1,2.0,2.0,61.0,26.0,11.0,2.0,4.0
0.0,0.0,0.0,1.0,0.0,133.0,0.0,185.0,25.9,15.0,1.0,102.0,53.0,14.0,3.0,6.0
0.0,1.0,0.0,0.0,0.0,71.0,0.0,180.0,21.4,0.0,0.0,43.0,16.0,5.0,3.0,7.0
0.0,1.0,0.0,0.0,0.0,163.0,0.0,185.0,23.7,3.0,3.0,102.0,39.0,25.0,5.0,8.0
0.0,1.0,0.0,0.0,0.0,56.0,0.0,183.0,27.3,0.0,2.0,46.0,13.0,8.0,1.0,6.0
0.0,1.0,0.0,0.0,0.0,163.0,0.0,188.0,23.9,4.0,2.0,104.0,34.0,21.0,10.0,15.0
0.0,1.0,0.0,0.0,0.0,79.0,0.0,180.0,24.9,0.0,0.0,60.0,27.0,6.0,6.0,10.0
0.0,1.0,0.0,0.0,0.0,131.0,0.0,185.0,20.8,4.0,5.0,69.0,31.0,11.0,2.0,6.0
0.0,0.0,0.0,1.0,0.0,114.0,0.0,193.0,24.6,5.0,2.0,84.0,35.0,14.0,1.0,5.0
0.0,0.0,0.0,1.0,0.0,98.0,0.0,180.0,30.8,5.0,3.0,84.0,30.0,22.0,11.0,13.0
0.0,1.0,0.0,0.0,1.0,131.0,0.0,188.0,19.4,5.0,2.0,95.0,39.0,15.0,7.0,11.0
0.0,1.0,0.0,0.0,1.0,135.0,0.0,178.0,22.8,0.0,0.0,108.0,38.0,22.0,5.0,11.0
0.0,1.0,0.0,0.0,1.0,244.0,0.0,180.0,27.1,8.0,6.0,171.0,68.0,45.0,14.0,16.0
0.0,1.0,0.0,0.0,1.0,165.0,1.0,188.0,23.5,3.0,2.0,116.0,55.0,12.0,15.0,19.0
0.0,1.0,0.0,0.0,1.0,132.0,0.0,185.0,23.8,2.0,3.0,82.0,34.0,13.0,5.0,10.0
0.0,0.0,1.0,0.0,1.0,95.0,0.0,188.0,25.9,2.0,3.0,87.0,28.0,18.0,10.0,16.0
0.0,0.0,1.0,0.0,1.0,139.0,0.0,196.0,24.9,19.0,4.0,123.0,59.0,18.0,7.0,11.0
0.0,0.0,1.0,0.0,1.0,252.0,0.0,180.0,26.3,7.0,2.0,157.0,59.0,41.0,5.0,8.0
0.0,0.0,1.0,0.0,1.0,300.0,0.0,183.0,22.0,6.0,8.0,225.0,82.0,58.0,12.0,17.0
0.0,0.0,0.0,1.0,1.0,96.0,0.0,190.0,20.3,6.0,4.0,97.0,37.0,11.0,11.0,17.0
0.0,0.0,0.0,1.0,1.0,281.0,0.0,185.0,28.7,12.0,2.0,181.0,88.0,34.0,1.0,4.0
0.0,0.0,0.0,1.0,1.0,102.0,0.0,198.0,18.9,1.0,1.0,71.0,24.0,12.0,0.0,6.0
0.0,0.0,0.0,1.0,1.0,231.0,0.0,185.0,23.4,3.0,6.0,145.0,57.0,28.0,8.0,14.0
0.0,0.0,0.0,1.0,1.0,138.0,0.0,190.0,30.9,2.0,7.0,114.0,45.0,19.0,12.0,17.0
0.0,0.0,0.0,1.0,1.0,132.0,0.0,175.0,25.4,5.0,1.0,97.0,43.0,10.0,5.0,11.0
0.0,0.0,0.0,1.0,1.0,81.0,0.0,183.0,27.2,1.0,4.0,69.0,17.0,12.0,7.0,15.0
0.0,0.0,0.0,1.0,1.0,121.0,1.0,188.0,25.3,5.0,6.0,90.0,34.0,12.0,9.0,15.0
0.0,0.0,0.0,1.0,1.0,165.0,0.0,173.0,25.4,1.0,4.0,121.0,41.0,27.0,8.0,15.0
0.0,0.0,0.0,1.0,0.0,140.0,0.0,198.0,27.2,7.0,0.0,99.0,55.0,12.0,2.0,4.0
0.0,0.0,0.0,1.0,0.0,66.0,1.0,183.0,25.1,1.0,2.0,55.0,22.0,2.0,4.0,9.0
0.0,0.0,0.0,1.0,0.0,88.0,0.0,193.0,24.1,12.0,2.0,69.0,36.0,7.0,6.0,9.0
0.0,0.0,0.0,1.0,0.0,81.0,0.0,196.0,23.0,1.0,3.0,49.0,18.0,10.0,0.0,3.0
0.0,0.0,1.0,0.0,0.0,79.0,0.0,183.0,25.7,3.0,0.0,68.0,22.0,18.0,4.0,7.0
0.0,0.0,1.0,0.0,0.0,103.0,0.0,180.0,23.9,8.0,0.0,73.0,33.0,10.0,3.0,7.0
0.0,0.0,1.0,0.0,0.0,72.0,0.0,180.0,27.2,4.0,2.0,57.0,22.0,8.0,2.0,6.0
0.0,0.0,1.0,0.0,0.0,48.0,0.0,180.0,26.4,1.0,5.0,44.0,12.0,5.0,4.0,10.0
0.0,0.0,0.0,1.0,0.0,54.0,0.0,185.0,25.8,0.0,1.0,44.0,15.0,9.0,4.0,7.0
0.0,0.0,0.0,1.0,0.0,100.0,0.0,190.0,24.0,2.0,3.0,79.0,30.0,15.0,6.0,9.0
0.0,0.0,0.0,1.0,0.0,69.0,0.0,178.0,24.3,2.0,2.0,46.0,12.0,14.0,4.0,7.0
0.0,0.0,0.0,1.0,0.0,85.0,0.0,185.0,30.2,3.0,1.0,56.0,24.0,6.0,5.0,8.0
0.0,0.0,0.0,1.0,0.0,126.0,0.0,183.0,22.9,1.0,1.0,87.0,27.0,18.0,10.0,15.0
0.0,0.0,0.0,1.0,0.0,88.0,1.0,185.0,21.7,2.0,2.0,51.0,18.0,8.0,3.0,7.0
0.0,0.0,0.0,1.0,0.0,125.0,0.0,188.0,26.2,6.0,4.0,87.0,26.0,25.0,1.0,6.0
0.0,1.0,0.0,0.0,0.0,82.0,0.0,193.0,29.0,2.0,4.0,52.0,19.0,8.0,1.0,5.0
0.0,1.0,0.0,0.0,0.0,78.0,0.0,190.0,20.9,3.0,5.0,60.0,14.0,14.0,5.0,10.0
0.0,1.0,0.0,0.0,0.0,60.0,0.0,198.0,20.5,1.0,2.0,57.0,16.0,12.0,6.0,10.0
0.0,1.0,0.0,0.0,0.0,66.0,0.0,190.0,28.7,0.0,1.0,57.0,17.0,9.0,2.0,7.0
0.0,1.0,0.0,0.0,0.0,98.0,0.0,208.0,29.2,12.0,0.0,64.0,30.0,10.0,1.0,3.0
0.0,1.0,0.0,0.0,0.0,77.0,0.0,175.0,27.4,0.0,2.0,56.0,20.0,8.0,3.0,7.0
0.0,1.0,0.0,0.0,0.0,73.0,0.0,178.0,24.1,2.0,0.0,49.0,14.0,7.0,1.0,6.0
0.0,1.0,0.0,0.0,0.0,162.0,0.0,185.0,24.8,3.0,8.0,93.0,41.0,16.0,2.0,5.0
0.0,1.0,0.0,0.0,0.0,34.0,0.0,183.0,22.7,1.0,0.0,20.0,5.0,2.0,1.0,4.0
0.0,1.0,0.0,0.0,0.0,34.0,0.0,185.0,29.4,0.0,2.0,16.0,3.0,1.0,0.0,3.0
0.0,1.0,0.0,0.0,0.0,124.0,0.0,183.0,23.1,2.0,3.0,87.0,36.0,19.0,3.0,6.0
0.0,0.0,0.0,1.0,0.0,77.0,0.0,185.0,23.8,3.0,0.0,56.0,26.0,8.0,2.0,5.0
0.0,0.0,0.0,1.0,0.0,80.0,0.0,193.0,23.9,9.0,4.0,56.0,30.0,7.0,3.0,5.0
0.0,0.0,0.0,1.0,0.0,114.0,0.0,183.0,22.8,2.0,0.0,72.0,37.0,11.0,0.0,2.0
0.0,0.0,0.0,1.0,0.0,59.0,0.0,190.0,24.4,0.0,5.0,49.0,17.0,4.0,5.0,10.0
0.0,0.0,0.0,1.0,0.0,94.0,0.0,190.0,19.9,3.0,4.0,68.0,27.0,14.0,3.0,5.0
0.0,0.0,0.0,1.0,0.0,86.0,1.0,185.0,22.1,2.0,1.0,45.0,19.0,9.0,1.0,4.0
0.0,0.0,0.0,1.0,0.0,78.0,0.0,198.0,19.4,2.0,4.0,64.0,19.0,17.0,2.0,5.0
0.0,0.0,0.0,1.0,0.0,96.0,0.0,178.0,35.2,2.0,1.0,73.0,26.0,20.0,4.0,6.0
0.0,0.0,0.0,1.0,0.0,56.0,0.0,185.0,24.6,1.0,1.0,44.0,16.0,3.0,1.0,6.0
0.0,0.0,0.0,1.0,0.0,70.0,0.0,183.0,23.1,1.0,0.0,53.0,21.0,8.0,2.0,5.0
0.0,1.0,0.0,0.0,1.0,149.0,1.0,183.0,26.7,3.0,5.0,100.0,30.0,29.0,5.0,12.0
0.0,1.0,0.0,0.0,1.0,80.0,0.0,188.0,25.4,6.0,2.0,69.0,26.0,6.0,4.0,10.0
0.0,1.0,0.0,0.0,1.0,137.0,1.0,180.0,22.5,10.0,3.0,119.0,37.0,24.0,5.0,12.0
0.0,1.0,0.0,0.0,1.0,140.0,0.0,185.0,26.3,8.0,4.0,111.0,45.0,18.0,7.0,12.0
0.0,1.0,0.0,0.0,1.0,187.0,0.0,190.0,19.7,12.0,7.0,138.0,58.0,24.0,12.0,16.0
0.0,0.0,1.0,0.0,1.0,127.0,1.0,193.0,27.9,10.0,7.0,113.0,54.0,12.0,11.0,16.0
0.0,0.0,0.0,1.0,1.0,120.0,0.0,173.0,30.6,6.0,3.0,84.0,31.0,20.0,3.0,7.0
0.0,0.0,0.0,1.0,1.0,126.0,0.0,190.0,28.7,19.0,7.0,102.0,46.0,21.0,1.0,3.0
0.0,0.0,0.0,1.0,1.0,232.0,0.0,198.0,19.9,20.0,12.0,161.0,65.0,32.0,7.0,13.0
0.0,0.0,0.0,1.0,1.0,223.0,0.0,180.0,26.3,8.0,5.0,153.0,67.0,26.0,7.0,13.0
0.0,0.0,0.0,1.0,1.0,154.0,0.0,188.0,25.9,14.0,7.0,116.0,56.0,17.0,0.0,5.0
0.0,0.0,0.0,1.0,1.0,120.0,0.0,178.0,26.5,7.0,2.0,82.0,22.0,19.0,1.0,7.0
0.0,0.0,0.0,1.0,1.0,92.0,0.0,183.0,22.2,5.0,2.0,64.0,19.0,11.0,2.0,8.0
0.0,0.0,0.0,1.0,1.0,94.0,0.0,198.0,20.2,8.0,5.0,92.0,35.0,11.0,7.0,14.0
0.0,0.0,0.0,1.0,1.0,146.0,0.0,180.0,26.8,6.0,4.0,90.0,28.0,18.0,5.0,12.0
0.0,0.0,0.0,1.0,1.0,132.0,0.0,175.0,25.7,4.0,4.0,91.0,29.0,17.0,8.0,14.0
0.0,0.0,0.0,1.0,1.0,146.0,0.0,185.0,26.4,10.0,2.0,109.0,48.0,18.0,7.0,11.0
0.0,0.0,0.0,1.0,1.0,185.0,0.0,188.0,22.7,15.0,2.0,136.0,69.0,18.0,8.0,12.0
0.0,0.0,0.0,1.0,0.0,117.0,0.0,198.0,20.1,2.0,1.0,66.0,24.0,13.0,7.0,11.0
0.0,0.0,0.0,1.0,0.0,103.0,0.0,178.0,27.4,8.0,5.0,87.0,39.0,21.0,2.0,4.0
0.0,0.0,0.0,1.0,0.0,172.0,0.0,183.0,23.8,4.0,5.0,109.0,41.0,25.0,11.0,14.0
0.0,0.0,0.0,1.0,0.0,103.0,0.0,178.0,27.4,5.0,1.0,66.0,20.0,13.0,7.0,11.0
0.0,0.0,0.0,1.0,0.0,72.0,0.0,183.0,25.8,3.0,4.0,58.0,18.0,15.0,1.0,5.0
0.0,0.0,0.0,1.0,0.0,74.0,0.0,180.0,32.2,2.0,3.0,64.0,25.0,9.0,7.0,11.0
0.0,0.0,0.0,1.0,0.0,97.0,0.0,183.0,26.1,6.0,4.0,71.0,28.0,15.0,2.0,4.0
0.0,0.0,0.0,1.0,0.0,142.0,0.0,193.0,21.9,6.0,3.0,83.0,30.0,18.0,2.0,6.0
0.0,1.0,0.0,0.0,0.0,99.0,0.0,180.0,31.0,3.0,3.0,77.0,29.0,12.0,9.0,12.0
0.0,1.0,0.0,0.0,0.0,98.0,0.0,190.0,25.2,3.0,1.0,77.0,33.0,11.0,8.0,11.0
0.0,1.0,0.0,0.0,0.0,105.0,0.0,193.0,30.1,3.0,0.0,72.0,23.0,23.0,5.0,7.0
0.0,0.0,0.0,1.0,0.0,87.0,1.0,190.0,23.7,6.0,3.0,64.0,29.0,7.0,5.0,8.0
0.0,0.0,0.0,1.0,0.0,53.0,0.0,190.0,30.3,2.0,2.0,37.0,8.0,3.0,3.0,9.0
0.0,0.0,0.0,1.0,0.0,139.0,0.0,183.0,24.5,13.0,1.0,96.0,44.0,19.0,6.0,9.0
0.0,0.0,0.0,1.0,0.0,151.0,0.0,185.0,30.9,8.0,2.0,106.0,48.0,21.0,5.0,8.0
0.0,0.0,0.0,1.0,0.0,131.0,0.0,185.0,28.2,10.0,1.0,86.0,42.0,11.0,4.0,8.0
0.0,0.0,0.0,1.0,0.0,55.0,0.0,185.0,27.0,1.0,2.0,39.0,15.0,3.0,3.0,7.0
0.0,0.0,0.0,1.0,0.0,80.0,0.0,196.0,24.7,2.0,1.0,45.0,19.0,11.0,2.0,5.0
0.0,0.0,0.0,1.0,0.0,92.0,0.0,185.0,25.6,2.0,1.0,60.0,22.0,9.0,7.0,12.0
0.0,0.0,0.0,1.0,0.0,76.0,0.0,173.0,31.8,2.0,2.0,57.0,18.0,7.0,4.0,9.0
0.0,0.0,0.0,1.0,0.0,117.0,0.0,193.0,25.2,7.0,3.0,69.0,28.0,17.0,3.0,6.0
0.0,0.0,0.0,1.0,0.0,77.0,1.0,185.0,23.4,4.0,2.0,38.0,14.0,6.0,0.0,3.0
0.0,0.0,0.0,1.0,0.0,164.0,0.0,193.0,23.1,12.0,6.0,106.0,48.0,15.0,5.0,10.0
0.0,0.0,0.0,1.0,0.0,71.0,0.0,185.0,24.4,1.0,3.0,52.0,22.0,8.0,2.0,5.0
0.0,0.0,0.0,1.0,0.0,76.0,0.0,185.0,27.1,1.0,11.0,64.0,17.0,17.0,3.0,7.0
