,OpponentId,winner_rank,Unnamed: 0,T_1st_ad_%ServesWon,T_1st_ad_Aces,T_1st_ad_Unreturned,T_1st_ad_Returned,T_1st_ad_AvgSpeed,M_1st_ad_%ServesWon,M_1st_ad_Aces,M_1st_ad_Unreturned,M_1st_ad_Returned,M_1st_ad_AvgSpeed,W_1st_ad_%ServesWon,W_1st_ad_Aces,W_1st_ad_Unreturned,W_1st_ad_Returned,W_1st_ad_AvgSpeed,T_2nd_ad_%ServesWon,T_2nd_ad_Aces,T_2nd_ad_Unreturned,T_2nd_ad_Returned,T_2nd_ad_AvgSpeed,M_2nd_ad_%ServesWon,M_2nd_ad_Aces,M_2nd_ad_Unreturned,M_2nd_ad_Returned,M_2nd_ad_AvgSpeed,W_2nd_ad_%ServesWon,W_2nd_ad_Aces,W_2nd_ad_Unreturned,W_2nd_ad_Returned,W_2nd_ad_AvgSpeed,T_1st_d_%ServesWon,T_1st_d_Aces,T_1st_d_Unreturned,T_1st_d_Returned,T_1st_d_AvgSpeed,M_1st_d_%ServesWon,M_1st_d_Aces,M_1st_d_Unreturned,M_1st_d_Returned,M_1st_d_AvgSpeed,W_1st_d_%ServesWon,W_1st_d_Aces,W_1st_d_Unreturned,W_1st_d_Returned,W_1st_d_AvgSpeed,T_2nd_d_%ServesWon,T_2nd_d_Aces,T_2nd_d_Unreturned,T_2nd_d_Returned,T_2nd_d_AvgSpeed,M_2nd_d_%ServesWon,M_2nd_d_Aces,M_2nd_d_Unreturned,M_2nd_d_Returned,M_2nd_d_AvgSpeed,W_2nd_d_%ServesWon,W_2nd_d_Aces,W_2nd_d_Unreturned,W_2nd_d_Returned,W_2nd_d_AvgSpeed,year
0,A678,122.0,10,68.8%,3,1,12,132.0,0.0%,0,0,0,0.0,66.7%,2,4,6,136.0,50.0%,0.0,1.0,5.0,119.0,20.0%,0,1,4,109.0,66.7%,0,1,5,106.0,76.5%,5,5,7,135.0,66.7%,0,1,2,122.0,77.3%,6,4,12,120.0,28.6%,0.0,0.0,7.0,109.0,33.3%,0,0,3,112.0,66.7%,0,1,2,114.0,2020
1,A678,122.0,44,33.3%,0,1,2,117.0,50.0%,0,1,1,101.0,50.0%,0,0,4,102.0,33.3%,0.0,1.0,2.0,117.0,50.0%,0,1,1,101.0,50.0%,0,0,4,102.0,50.0%,0,2,4,114.0,33.3%,0,0,3,112.0,66.7%,0,0,3,113.0,50.0%,0.0,2.0,4.0,114.0,33.3%,0,0,3,112.0,66.7%,0,0,3,113.0,2018
2,A678,122.0,151,80.0%,0,2,3,134.0,0.0%,0,0,0,0.0,55.6%,4,1,4,121.0,68.8%,0.0,3.0,13.0,94.0,33.3%,0,0,3,111.0,100.0%,1,0,0,112.0,50.0%,1,1,6,128.0,0.0%,0,0,0,0.0,75.0%,1,2,5,130.0,100.0%,0.0,1.0,2.0,116.0,40.0%,0,1,4,107.0,100.0%,0,0,1,103.0,2012
3,BA47,11.333333333333334,73,71.4%,0,1,6,128.0,0.0%,0,0,0,0.0,72.7%,2,3,6,110.0,45.5%,0.0,3.0,8.0,98.0,75.0%,0,0,4,95.0,75.0%,0,0,4,95.0,75.0%,3,3,6,118.0,0.0%,0,0,0,0.0,83.3%,3,0,3,124.0,100.0%,0.0,0.0,3.0,93.0,50.0%,0,0,2,99.0,50.0%,0,0,2,99.0,2016
4,BA47,11.333333333333334,93,71.4%,2,6,13,129.0,33.3%,0,0,3,118.0,78.9%,1,7,11,115.0,40.6%,0.0,0.0,32.0,99.0,55.6%,0,0,9,98.0,0.0%,0,0,2,104.0,72.4%,3,8,18,124.0,100.0%,0,1,0,121.0,80.0%,3,3,4,122.0,0.0%,0.0,0.0,1.0,106.0,30.0%,0,0,10,98.0,46.4%,0,6,22,99.0,2015
5,BA47,11.333333333333334,110,60.0%,0,1,4,129.0,50.0%,0,0,2,122.0,50.0%,0,0,2,122.0,20.0%,0.0,1.0,4.0,98.0,25.0%,0,1,3,101.0,50.0%,0,0,2,104.0,100.0%,1,1,3,119.0,0.0%,0,0,1,130.0,0.0%,0,0,1,130.0,50.0%,0.0,0.0,2.0,107.0,36.4%,0,2,9,97.0,20.0%,0,0,5,96.0,2014
6,BA47,11.333333333333334,128,50.0%,0,0,12,100.0,57.1%,0,2,5,98.0,100.0%,0,1,0,105.0,50.0%,0.0,0.0,12.0,100.0,57.1%,0,2,5,98.0,100.0%,0,1,0,105.0,50.0%,0,0,2,105.0,25.0%,0,0,4,99.0,18.2%,0,1,10,100.0,50.0%,0.0,0.0,2.0,105.0,25.0%,0,0,4,99.0,18.2%,0,1,10,100.0,2013
7,BA47,11.333333333333334,154,76.0%,1,11,13,124.0,60.0%,0,1,4,124.0,96.7%,5,10,15,115.0,66.7%,0.0,1.0,5.0,97.0,35.7%,0,2,12,95.0,100.0%,0,0,2,108.0,64.5%,2,10,19,122.0,100.0%,0,0,2,111.0,56.2%,1,2,13,114.0,0.0%,0.0,0.0,0.0,0.0,40.7%,0,3,24,94.0,41.7%,0,2,10,94.0,2012
8,BD06,22.666666666666668,11,66.7%,1,5,9,104.0,66.7%,0,1,5,103.0,72.7%,0,3,8,116.0,25.0%,0.0,0.0,4.0,98.0,50.0%,0,2,8,88.0,50.0%,0,0,4,92.0,60.0%,0,1,14,116.0,33.3%,0,1,5,107.0,50.0%,1,4,11,103.0,50.0%,0.0,2.0,4.0,90.0,37.5%,0,2,6,93.0,100.0%,0,1,0,98.0,2020
9,BD06,22.666666666666668,26,45.5%,1,1,9,108.0,0.0%,0,0,0,0.0,0.0%,0,0,0,0.0,0.0%,0.0,0.0,4.0,98.0,75.0%,0,0,4,92.0,22.2%,0,1,8,93.0,66.7%,0,1,11,116.0,100.0%,0,0,1,117.0,100.0%,0,0,1,117.0,14.3%,0.0,0.0,7.0,93.0,100.0%,0,3,3,91.0,50.0%,0,0,4,99.0,2019
10,BD06,22.666666666666668,62,100.0%,0,2,4,107.0,60.0%,0,1,4,115.0,75.0%,0,2,10,115.0,0.0%,0.0,0.0,1.0,117.0,50.0%,0,1,1,90.0,100.0%,0,1,4,93.0,36.4%,1,0,10,115.0,40.0%,0,0,5,114.0,50.0%,0,2,4,102.0,50.0%,0.0,0.0,2.0,93.0,0.0%,0,0,3,97.0,0.0%,0,0,1,100.0,2017
11,BD06,22.666666666666668,71,60.0%,1,6,18,117.0,50.0%,0,1,3,115.0,68.8%,2,7,23,104.0,53.3%,0.0,0.0,15.0,91.0,50.0%,0,0,10,94.0,50.0%,0,0,10,94.0,70.6%,1,5,11,106.0,50.0%,0,0,4,111.0,60.0%,2,5,23,114.0,50.0%,0.0,0.0,4.0,105.0,44.4%,0,0,9,90.0,44.4%,0,0,9,90.0,2016
12,CD85,19.0,28,20.0%,0,0,5,114.0,100.0%,0,1,1,107.0,100.0%,0,1,1,107.0,100.0%,0.0,1.0,1.0,104.0,100.0%,0,1,0,85.0,37.5%,0,0,8,89.0,57.1%,0,1,6,120.0,100.0%,0,1,3,108.0,100.0%,0,1,3,108.0,80.0%,0.0,0.0,5.0,90.0,33.3%,0,1,2,96.0,0.0%,0,0,0,0.0,2019
13,CD85,19.0,64,50.0%,0,1,3,116.0,90.0%,0,1,9,107.0,50.0%,0,3,15,107.0,50.0%,0.0,1.0,1.0,107.0,40.0%,0,0,5,82.0,50.0%,0,1,3,83.0,46.7%,0,2,13,107.0,44.4%,0,1,8,105.0,62.5%,0,4,12,108.0,50.0%,0.0,3.0,5.0,106.0,50.0%,0,0,2,86.0,0.0%,0,0,1,83.0,2017
14,DH50,45.0,0,50.0%,0,2,8,119.0,0.0%,0,0,3,113.0,66.7%,0,1,5,110.0,100.0%,0.0,1.0,0.0,104.0,20.0%,0,1,4,95.0,20.0%,0,1,4,95.0,55.6%,0,1,8,117.0,25.0%,0,0,4,112.0,40.0%,0,1,4,111.0,0.0%,0.0,0.0,2.0,96.0,80.0%,0,1,4,92.0,80.0%,0,1,4,92.0,2021
15,E687,32.0,1,66.7%,1,0,8,111.0,57.1%,0,2,5,111.0,66.7%,0,2,13,109.0,0.0%,0.0,0.0,0.0,0.0,30.8%,0,2,11,92.0,30.8%,0,2,11,92.0,42.9%,0,1,13,112.0,75.0%,0,0,4,114.0,77.8%,0,2,7,107.0,54.5%,0.0,0.0,11.0,93.0,55.6%,0,1,8,96.0,55.6%,0,1,8,96.0,2021
16,F324,2.3043478260869565,34,83.3%,4,4,4,122.0,0.0%,0,0,0,0.0,0.0%,0,0,0,0.0,100.0%,0.0,1.0,1.0,108.0,0.0%,0,0,0,0.0,100.0%,1,1,1,91.0,66.7%,3,4,5,125.0,0.0%,0,0,0,0.0,0.0%,0,0,0,0.0,0.0%,0.0,0.0,0.0,0.0,66.7%,0,0,3,100.0,66.7%,0,2,1,105.0,2019
17,F324,2.3043478260869565,54,64.3%,1,3,10,105.0,45.5%,0,1,10,92.0,56.2%,0,1,15,92.0,64.3%,1.0,3.0,10.0,105.0,45.5%,0,1,10,92.0,56.2%,0,1,15,92.0,57.1%,0,0,14,96.0,66.7%,0,2,4,98.0,50.0%,0,0,10,101.0,57.1%,0.0,0.0,14.0,96.0,66.7%,0,2,4,98.0,50.0%,0,0,10,101.0,2018
18,F324,2.3043478260869565,97,77.6%,13,9,27,122.0,57.1%,0,1,6,116.0,74.5%,5,21,29,113.0,40.7%,0.0,1.0,26.0,97.0,50.0%,0,2,16,100.0,71.4%,0,4,10,102.0,73.2%,8,8,25,118.0,100.0%,0,1,0,117.0,78.0%,6,13,31,117.0,73.3%,0.0,2.0,13.0,107.0,41.2%,0,2,15,96.0,55.2%,0,5,24,91.0,2015
19,F324,2.3043478260869565,113,89.5%,6,10,22,124.0,0.0%,0,0,0,0.0,0.0%,0,0,0,0.0,35.3%,0.0,0.0,17.0,94.0,60.0%,0,2,18,97.0,100.0%,0,1,6,102.0,48.6%,3,8,26,119.0,33.3%,0,0,3,121.0,33.3%,0,0,3,121.0,50.0%,0.0,1.0,3.0,105.0,66.7%,0,1,8,96.0,91.7%,0,3,9,92.0,2014
20,F324,2.3043478260869565,133,50.0%,0,1,7,100.0,80.0%,0,0,5,99.0,0.0%,0,0,1,103.0,50.0%,0.0,1.0,7.0,100.0,80.0%,0,0,5,99.0,0.0%,0,0,1,103.0,25.0%,0,1,3,107.0,66.7%,0,1,2,104.0,20.0%,0,0,5,95.0,25.0%,0.0,1.0,3.0,107.0,66.7%,0,1,2,104.0,20.0%,0,0,5,95.0,2013
21,F324,2.3043478260869565,160,61.5%,5,5,16,124.0,50.0%,0,0,4,114.0,75.0%,8,7,21,111.0,0.0%,0.0,0.0,0.0,0.0,60.0%,0,2,13,100.0,50.0%,0,2,4,101.0,68.0%,4,6,15,120.0,66.7%,0,2,4,118.0,88.0%,5,7,13,119.0,100.0%,0.0,1.0,1.0,105.0,60.0%,0,1,14,99.0,75.0%,0,3,17,93.0,2012
22,G676,178.0,163,61.1%,2,3,13,120.0,0.0%,0,0,0,0.0,61.5%,2,4,7,117.0,45.5%,0.0,1.0,10.0,107.0,0.0%,0,0,1,90.0,0.0%,0,0,1,107.0,76.9%,2,6,5,122.0,100.0%,0,1,0,127.0,58.3%,0,5,7,121.0,0.0%,0.0,0.0,3.0,111.0,70.0%,0,1,9,93.0,60.0%,0,1,4,92.0,2012
23,G858,53.0,100,76.9%,3,3,7,131.0,50.0%,0,0,2,118.0,50.0%,1,5,8,111.0,33.3%,0.0,0.0,3.0,107.0,53.3%,0,1,14,95.0,50.0%,0,0,4,102.0,68.8%,3,5,8,127.0,66.7%,0,2,1,130.0,90.9%,1,6,4,130.0,45.5%,1.0,0.0,10.0,107.0,85.7%,0,1,6,94.0,100.0%,0,0,2,96.0,2015
24,K435,35.0,19,75.0%,0,1,3,114.0,0.0%,0,0,1,118.0,83.3%,0,4,2,118.0,50.0%,0.0,1.0,1.0,101.0,0.0%,0,0,2,94.0,0.0%,0,0,4,85.0,60.0%,1,0,4,117.0,60.0%,0,0,5,109.0,71.4%,1,4,2,106.0,0.0%,0.0,0.0,1.0,100.0,50.0%,0,1,3,98.0,0.0%,0,0,1,101.0,2020
25,K435,35.0,38,61.5%,2,2,9,114.0,66.7%,0,3,6,116.0,66.7%,0,3,6,116.0,100.0%,0.0,1.0,0.0,101.0,50.0%,0,1,21,91.0,72.7%,0,3,8,91.0,72.7%,4,3,15,119.0,70.0%,0,1,9,116.0,70.0%,0,1,9,116.0,31.6%,0.0,0.0,19.0,93.0,64.3%,0,2,12,92.0,50.0%,0,0,2,96.0,2019
26,K435,35.0,80,87.5%,1,4,3,120.0,71.4%,0,3,4,114.0,40.0%,2,0,8,107.0,66.7%,0.0,0.0,3.0,94.0,42.9%,0,1,6,94.0,42.9%,0,1,6,94.0,66.7%,0,3,3,113.0,50.0%,0,2,2,115.0,81.8%,0,4,7,96.0,100.0%,0.0,1.0,0.0,95.0,25.0%,0,0,4,95.0,25.0%,0,0,4,95.0,2016
27,K435,35.0,119,70.0%,2,4,14,116.0,66.7%,0,2,1,118.0,66.7%,0,2,1,118.0,30.0%,0.0,1.0,9.0,88.0,40.0%,0,1,9,94.0,37.5%,0,1,7,99.0,66.7%,1,3,8,112.0,66.7%,0,1,2,116.0,66.7%,0,1,2,116.0,66.7%,0.0,2.0,1.0,101.0,37.5%,0,2,22,91.0,28.6%,0,2,5,94.0,2014
28,K966,140.0,103,66.7%,0,4,8,111.0,30.0%,0,2,8,113.0,25.0%,0,1,3,116.0,50.0%,0.0,1.0,11.0,86.0,50.0%,0,2,4,89.0,0.0%,0,0,1,90.0,80.0%,0,2,3,120.0,42.9%,0,1,6,110.0,58.3%,0,4,8,107.0,0.0%,0.0,0.0,1.0,92.0,53.8%,0,3,10,91.0,16.7%,0,0,6,94.0,2015
29,KB05,319.0,20,50.0%,2,6,20,114.0,71.4%,0,0,7,102.0,55.2%,1,5,23,115.0,0.0%,0.0,0.0,1.0,102.0,42.1%,0,4,15,91.0,44.4%,0,3,6,88.0,68.6%,2,5,28,116.0,33.3%,0,0,3,100.0,68.0%,2,5,18,102.0,30.8%,0.0,1.0,12.0,96.0,66.7%,0,3,9,93.0,66.7%,0,0,3,95.0,2020
30,KE29,18.0,17,33.3%,0,0,6,123.0,50.0%,0,0,2,111.0,66.7%,0,0,3,116.0,50.0%,0.0,0.0,2.0,111.0,33.3%,0,0,6,101.0,0.0%,0,0,2,101.0,62.5%,2,1,5,123.0,0.0%,0,0,1,116.0,50.0%,1,4,5,117.0,100.0%,0.0,1.0,1.0,101.0,33.3%,0,0,3,106.0,0.0%,0,0,0,0.0,2020
31,KE29,18.0,56,100.0%,0,0,1,105.0,50.0%,0,0,6,100.0,0.0%,0,0,0,0.0,100.0%,0.0,0.0,1.0,105.0,50.0%,0,0,6,100.0,0.0%,0,0,0,0.0,75.0%,0,1,3,95.0,0.0%,0,0,2,103.0,100.0%,0,0,1,106.0,75.0%,0.0,1.0,3.0,95.0,0.0%,0,0,2,103.0,100.0%,0,0,1,106.0,2018
32,MM58,7.0,5,50.0%,0,1,7,119.0,0.0%,0,0,0,0.0,57.1%,3,1,10,126.0,66.7%,0.0,0.0,3.0,112.0,66.7%,0,1,5,80.0,66.7%,0,1,5,80.0,66.7%,2,2,11,126.0,0.0%,0,0,0,0.0,53.8%,2,2,9,116.0,20.0%,0.0,0.0,5.0,93.0,20.0%,0,0,5,101.0,20.0%,0,0,5,101.0,2021
33,MM58,7.0,21,68.0%,2,4,19,122.0,33.3%,0,0,3,114.0,50.0%,5,2,11,127.0,60.0%,0.0,1.0,4.0,118.0,66.7%,0,1,8,98.0,63.6%,0,1,10,94.0,73.7%,4,6,9,128.0,0.0%,0,0,2,110.0,80.6%,4,10,17,119.0,60.0%,0.0,0.0,5.0,118.0,50.0%,0,0,8,103.0,85.7%,1,4,9,109.0,2020
34,MM58,7.0,39,76.9%,5,4,17,124.0,100.0%,0,1,0,129.0,100.0%,0,1,0,129.0,50.0%,0.0,0.0,2.0,111.0,50.0%,0,1,7,88.0,53.3%,1,3,11,98.0,89.5%,5,3,11,126.0,0.0%,0,0,2,122.0,0.0%,0,0,2,122.0,64.7%,2.0,1.0,14.0,96.0,55.6%,0,2,7,94.0,70.0%,1,2,7,107.0,2019
35,N289,40.0,147,40.0%,0,1,4,81.0,33.3%,0,1,5,81.0,100.0%,0,0,1,83.0,40.0%,0.0,1.0,4.0,81.0,33.3%,0,1,5,81.0,100.0%,0,0,1,83.0,14.3%,0,0,7,83.0,25.0%,0,0,4,81.0,0.0%,0,0,1,73.0,14.3%,0.0,0.0,7.0,83.0,25.0%,0,0,4,81.0,0.0%,0,0,1,73.0,2013
36,N552,21.5,86,57.1%,3,7,25,116.0,55.0%,0,5,15,111.0,60.5%,3,8,32,102.0,56.0%,0.0,1.0,24.0,84.0,46.7%,0,2,13,86.0,46.7%,0,2,13,86.0,72.4%,4,7,18,111.0,52.0%,0,5,20,110.0,50.0%,1,3,22,112.0,53.8%,0.0,2.0,11.0,90.0,47.1%,0,3,14,84.0,47.1%,0,3,14,84.0,2016
37,N552,21.5,106,56.2%,2,3,11,117.0,20.0%,0,1,4,94.0,46.7%,1,4,10,106.0,56.2%,0.0,5.0,11.0,89.0,90.0%,0,4,6,91.0,50.0%,0,0,2,95.0,58.8%,1,1,15,116.0,100.0%,0,2,0,119.0,57.9%,4,3,12,115.0,50.0%,0.0,1.0,3.0,94.0,45.5%,0,1,10,93.0,42.9%,0,0,7,85.0,2015
38,N552,21.5,125,50.0%,3,2,11,111.0,75.0%,0,1,3,110.0,75.0%,0,1,3,110.0,7.7%,0.0,0.0,13.0,91.0,40.0%,0,0,5,95.0,0.0%,0,0,1,88.0,71.4%,0,4,10,106.0,80.0%,0,2,8,105.0,80.0%,0,2,8,105.0,33.3%,0.0,0.0,3.0,99.0,33.3%,0,1,5,90.0,14.3%,0,0,7,89.0,2014
39,PD31,47.0,107,83.3%,1,0,5,125.0,100.0%,0,1,1,123.0,25.0%,1,0,7,110.0,41.2%,0.0,0.0,17.0,94.0,25.0%,0,0,4,93.0,50.0%,0,1,3,100.0,66.7%,1,1,7,123.0,50.0%,0,0,2,120.0,50.0%,1,2,7,122.0,0.0%,0.0,0.0,0.0,0.0,60.0%,0,1,4,88.0,38.5%,0,1,12,90.0,2015
40,Q927,32.0,43,50.0%,1,1,2,132.0,100.0%,0,0,1,135.0,100.0%,0,0,1,135.0,25.0%,0.0,0.0,4.0,109.0,0.0%,0,0,3,103.0,50.0%,0,0,8,94.0,71.4%,1,1,5,135.0,100.0%,0,1,0,122.0,100.0%,0,1,0,122.0,42.9%,0.0,1.0,6.0,105.0,66.7%,0,1,2,107.0,100.0%,0,1,3,110.0,2019
41,Q927,32.0,148,50.0%,0,1,9,87.0,0.0%,0,0,1,88.0,33.3%,0,0,3,100.0,50.0%,0.0,1.0,9.0,87.0,0.0%,0,0,1,88.0,33.3%,0,0,3,100.0,25.0%,0,0,4,100.0,50.0%,0,0,6,88.0,55.6%,0,0,9,87.0,25.0%,0.0,0.0,4.0,100.0,50.0%,0,0,6,88.0,55.6%,0,0,9,87.0,2013
42,Q927,32.0,172,78.3%,5,8,10,133.0,0.0%,0,0,0,0.0,70.8%,6,8,10,119.0,,,,,,46.2%,0,0,13,101.0,66.7%,0,1,2,103.0,68.4%,6,4,9,131.0,0.0%,0,0,1,121.0,81.2%,4,5,7,131.0,,,,,,64.7%,0,3,14,95.0,66.7%,0,2,1,93.0,2012
43,RE44,8.0,8,55.6%,0,2,7,122.0,0.0%,0,0,0,0.0,71.4%,0,1,6,129.0,0.0%,0.0,0.0,1.0,102.0,50.0%,0,0,2,90.0,50.0%,0,0,2,90.0,83.3%,3,1,2,131.0,0.0%,0,0,1,110.0,80.0%,3,1,1,109.0,36.4%,0.0,2.0,9.0,93.0,33.3%,0,0,3,98.0,33.3%,0,0,3,98.0,2021
44,b747,88.0,109,62.5%,0,3,5,124.0,50.0%,0,0,2,120.0,50.0%,0,0,2,120.0,10.0%,0.0,0.0,10.0,95.0,100.0%,0,1,1,94.0,0.0%,0,0,0,0.0,66.7%,0,2,4,120.0,100.0%,0,1,0,121.0,100.0%,0,1,0,121.0,50.0%,0.0,1.0,1.0,104.0,20.0%,0,0,5,87.0,44.4%,0,1,8,91.0,2014
45,c977,8.0,48,0.0%,0,0,2,101.0,36.4%,0,1,10,91.0,70.0%,0,3,7,91.0,0.0%,0.0,0.0,2.0,101.0,36.4%,0,1,10,91.0,70.0%,0,3,7,91.0,45.5%,0,2,20,94.0,37.5%,0,0,8,96.0,100.0%,0,0,1,106.0,45.5%,0.0,2.0,20.0,94.0,37.5%,0,0,8,96.0,100.0%,0,0,1,106.0,2018
46,c977,8.0,74,75.0%,2,1,5,129.0,100.0%,0,1,0,129.0,71.4%,2,5,7,114.0,62.5%,0.0,1.0,7.0,87.0,75.0%,0,2,2,93.0,75.0%,0,2,2,93.0,88.9%,3,3,3,123.0,50.0%,0,1,1,131.0,75.0%,1,4,3,123.0,60.0%,0.0,0.0,5.0,95.0,40.0%,0,1,4,88.0,40.0%,0,1,4,88.0,2016
47,c977,8.0,95,55.6%,3,1,5,124.0,100.0%,0,2,0,114.0,40.0%,0,0,5,114.0,22.2%,0.0,1.0,8.0,90.0,0.0%,0,0,3,94.0,100.0%,0,1,0,93.0,45.5%,0,2,9,120.0,0.0%,0,0,0,0.0,80.0%,0,1,4,120.0,50.0%,0.0,0.0,2.0,93.0,50.0%,0,1,1,90.0,50.0%,0,1,5,88.0,2015
